,text,text_clean
41,"H usserl's thoughts. The concept of the a priori, in a narrow sense, is 
",h usserls thoughts concept priori narrow sense
42,"coextensive with that of ""essence""; in a broader sense, it appears to range over 
",coextensive essence broader sense appears range
43,"all three. And yet, curiously enough, the concepts of transcendental 
",three yet curiously enough concepts transcendental
44,"subjectivity and lifeworld seem to situate philosophical thinking beyond the 
",subjectivity lifeworld seem situate philosophical thinking beyond
45,"a priori - a posteriori opposition. The tensions in H usserl's thought derive as 
",priori posteriori opposition tensions h usserls thought derive
46,"well from the complex relationship between these three key concepts, I as from 
",well complex relationship three key concepts
47,"the way they both appropriate and seek to go beyond traditional western 
",way appropriate seek go beyond traditional western
48,"thinking on these matters. The essays collected in this volume may be studied 
",thinking matters essays collected volume may studied
49,"as bearing on these tensions. 
",bearing tensions
50,"II 
",ii
51,"But let us begin with the question of the principle of H usserl interpretation, a 
",let us begin question principle h usserl interpretation
52,"question that is but a singular instance coming under a general issue: how are 
",question singular instance coming general issue
53,"we to understand and interpret the thoughts of a philosopher? It is to this 
",understand interpret thoughts philosopher
54,"question that Fink's essays address themselves. The questions which Fink 
",question finks essays address questions fink
55,"raises concern the relation between a philosophical text, the author's 
",raises concern relation philosophical text authors
56,"understanding of it and the integrity of our interpretation of the thoughts of 
",understanding integrity interpretation thoughts
57,"the philosopher as expressed (or concealed) in the text. Neither the 
",philosopher expressed concealed text neither
58,"documented text nor the author's own understanding of the text is adequate 
",documented text authors understanding text adequate
59,"guide to interpretation. Not the former., for the words of the text may conceal, 
",guide interpretation former words text may conceal
60,"rather than express, and may even express precisely by concealing, some 
",rather express may even express precisely concealing
61,"fundamental movements of thought; also, because the words are dead matter 
",fundamental movements thought also words dead matter
62,"unless the interpreter infuses them with life, or awakens the living thought in 
",unless interpreter infuses life awakens living thought
63,"them by comprehending the total meaning-intention of the text. A purely 
",comprehending total meaningintention text purely
64,"textual exegesis may fail precisely in doing that. One may then turn to the 
",textual exegesis may fail precisely one may turn
65,"author's own understanding of the text, to what the author says he wanted to 
",authors understanding text author says wanted
66,"conveyor express. That again is helpful, but is not certainly an unerring guide. 
",conveyor express helpful certainly unerring guide
67,"For one thing, what the author says he means gives us again a text whose 
",one thing author says means gives us text whose
68,"meaning needs to be ascertained, so that we understand the main text with the 
",meaning needs ascertained understand main text
69,"help of other texts. For another, the author's understanding of his tcxt is on 
",help texts another authors understanding tcxt
70,"interpretation, and insofar as it is one it may need to compete amongst other 
",interpretation insofar one may need compete amongst
71,"rival interpretations, and unless one locates meaning in the transparency of 
",rival interpretations unless one locates meaning transparency
72,"the author's,! speaker's inner life and so concedes a privileged and unerring 
",authors speakers inner life concedes privileged unerring
73,"access to the author, not alone to what he meant but also to what his text 
",access author alone meant also text
74,"means, it need not always be the case that the author's own self-understanding 
",means need always case authors selfunderstanding
75,"is the measure of all subsequent interpretations. Not only is it likely that the 
",measure subsequent interpretations likely
76,"author's pronouncement of what he meant by a text is removed from the text 
",authors pronouncement meant text removed text
77,"by time, so that what we have may be an attempt to recapture an intention that 
",time may attempt recapture intention
78,"is lost in its original freshness; but it is necessarily the case - irrespective of 
",lost original freshness necessarily case irrespective
79,"the temporal sequence involved - that the author's self-understanding is 
",temporal sequence involved authors selfunderstanding
80,"determined by his perception of his historical situation (which may fall short 
",determined perception historical situation may fall short
81,"of what that situation in fact is) and so may limit his grasp over the totality of 
",situation fact may limit grasp totality
82,"problem-situation that motivated his thinking. In other words, the total 
",problemsituation motivated thinking words total
83,"horizon within which the specific problems which an author formulates are 
",horizon within specific problems author formulates
84,"possible as problems may be. not merely unexpressed in the words of the text, 
",possible problems may merely unexpressed words text
85,"but also concealed from the author's self-understanding. 
",also concealed authors selfunderstanding
86,"These possibilities are certainly pertinent in the case of reading a single text, 
",possibilities certainly pertinent case reading single text
87,"and may be less so in the case of the entire corpus of an author. In the latter 
",may less case entire corpus author latter
88,"case, the inadequacies of expression and the concealment-unconcealment 
",case inadequacies expression concealmentunconcealment
89,"structure are progressively overcome, if not totally eliminated. There is a 
",structure progressively overcome totally eliminated
90,"historical development in the author's self-understanding which begins to 
",historical development authors selfunderstanding begins
91,"throw light on some otherwise opaque and misunderstood texts even if it 
",throw light otherwise opaque misunderstood texts even
92,"conceals others. Lights and shadows tend to conceal one another, and a clear 
",conceals others lights shadows tend conceal one another clear
93,"view tends to emerge. The prospects are relatively more promising in the casr 
",view tends emerge prospects relatively promising casr
94,"of an author such as Husser!, who continues. in all his phenomenologica. 
",author husser continues phenomenologica
95,"tex1 s, to pursue one goal of scientificity and progressively deepens and 
",tex pursue one goal scientificity progressively deepens
96,"radicalises his self-understanding with regard to that goal and his own 
",radicalises selfunderstanding regard goal
97,"progress towards achieving it. But this does not altogether eliminate the 
",progress towards achieving altogether eliminate
98,"skeptical considerations of the preceding paragraph. 
",skeptical considerations preceding paragraph
99,"Fink distinguishes between the fundamental question of a philosopher and 
",fink distinguishes fundamental question philosopher
100,"the particular problems he tries to solve. How to determine this fundamental 
",particular problems tries solve determine fundamental
101,"question? The method does not show the problem, it is rather the problem 
",question method show problem rather problem
102,"which determines the method. Nor does it help to turn to the theme, for the 
",determines method help turn theme
103,"sense of ""theme"" in philosophy differs radically from what it is in the positive 
",sense theme philosophy differs radically positive
104,"sciences. While in both. one would expect, the theme refers baek to a 
",sciences one would expect theme refers baek
105,"background which is not thematised. so that the theme has a ""problem-
",background thematised theme problem
106,"horizon,"" in philosophy - more than in the positive sciences - the theme is 
",horizon philosophy positive sciences theme
107,"determined by the problem and not vice versa. The task of interpretation. 
",determined problem vice versa task interpretation
108,"then, is to explicate this problem-horizon of a text, and from there to reach 
",explicate problemhorizon text reach
109,"forward to the more thematic problems, methods and theses. 
",forward thematic problems methods theses
110,"Fink is obviously referring to what Heidegger has called the Ungedachte: 
",fink obviously referring heidegger called ungedachte
111,"that which, while remaining unthought in a philosopher's texts, yet 
",remaining unthought philosophers texts yet
112,"determines and makes possible what is thought in the manner in which it is 
",determines makes possible thought manner
113,"thought. 
",thought
114,"But how to explicate this Ungedachte? Fink's important 
",explicate ungedachte finks important
115,"contribution to the problem of interpretation lies in a distinction he draws 
",contribution problem interpretation lies distinction draws
116,"between the thematic and the operative concepts of a philosophy. The 
",thematic operative concepts philosophy
117,"thematic concepts, according to him, are those in which a philosophy aims 
",thematic concepts according philosophy aims
118,"intentionally to fix and preserve what is being thought. I think that the 
",intentionally fix preserve thought think
119,"decisive components, in this formulation, are the ideas of ""intentionally 
",decisive components formulation ideas intentionally
120,"aiming"" and ""fixation."" The philosopher must after all self-consciously want 
",aiming fixation philosopher must selfconsciously want
121,"his thoughts to be understood in terms of a thematic concept. Furthermore, a 
",thoughts understood terms thematic concept furthermore
122,"thematic concept is ""fixed,"" determined (definitionally or otherwise) and 
",thematic concept fixed determined definitionally otherwise
123,"handed down to posterity by the philosopher as embodying the central thrust 
",handed posterity philosopher embodying central thrust
124,"of his thinking. Such are, for example, Plato's ""Ideas,"" Aristotle's ""ousia,"" 
",thinking example platos ideas aristotles ousia
125,"""dynamis"" and ""energia,"" Leibnitz's ""monad,"" Kant's ""transcendental,"" 
",dynamis energia leibnitzs monad kants transcendental
126,"Hegel's ""spirit"" and Husserl's ""transcendental subjectivity."" But while 
",hegels spirit husserls transcendental subjectivity
127,"philosophical thinking self-consciously determines such concepts and 
",philosophical thinking selfconsciously determines concepts
128,"embodies in them its understanding of its results and its methods, at the same 
",embodies understanding results methods
129,"time, in that very process, it makes use of some other concepts without 
",time process makes use concepts without
130,"thematising them. These latter are called by Fink ""operative"" concepts. As a 
",thematising latter called fink operative concepts
131,"careful reading of Fink's essay on operative concepts in Husserl's philosophy 
",careful reading finks essay operative concepts husserls philosophy
132,"will show, he says various things about what such concepts are and what they 
",show says various things concepts
133,"are not. They are called ""intellectual schemata"" which are used but not 
",called intellectual schemata used
134,"objectively fixed; ""cognitive presentations,"" ""conceptual fields"" and, also, 
",objectively fixed cognitive presentations conceptual fields also
135,"""conceptual medium"" through which one thinks and sees; ""the shadow of 
",conceptual medium one thinks sees shadow
136,"thought"" cast by thinking, ""that with which and through which the thematic 
",thought cast thinking thematic
137,"light of comprehension had been formulated in the first place. ""The examples 
",light comprehension formulated first place examples
138,"he gives us of such operative concepts are: the category of ""domination,"" in 
",gives us operative concepts category domination
139,"Marx; the relation between the ""transcendentals"" ens and verum, in Kant; 
",marx relation transcendentals ens verum kant
140,"""phenomenon,"" ""constitution,"" ""performance,"" in Husserl. 
",phenomenon constitution performance husserl
141,"In this introductory essay, I can only briefly reflect upon the nature of 
",introductory essay briefly reflect upon nature
142,"Fink's distinction. By ""operative"" concepts, Fink does not mean merely 
",finks distinction operative concepts fink mean merely
143,"unproven assumptions and naive presuppositions. It is commonly held that 
",unproven assumptions naive presuppositions commonly held
144,"most thinking, scientific or philosophical, proceeds on assumptions and 
",thinking scientific philosophical proceeds assumptions
145,"presuppositions which it naively makes, of which it is often unaware, and 
",presuppositions naively makes often unaware
146,"which it is, within its own discourse, incapable of explicating or grounding. 
",within discourse incapable explicating grounding
147,"Fink obviously is not drawing attention to these, for his distinction applies 
",fink obviously drawing attention distinction applies
148,"specifically to philosophical thinking, whereas unproven assumptions and 
",specifically philosophical thinking whereas unproven assumptions
149,"naive presuppositions may be regarded as vitiating all thinking. That thinking 
",naive presuppositions may regarded vitiating thinking thinking
150,"in the positive sciences is founded upon an already handed-down understanding 
",positive sciences founded upon already handeddown understanding
151,"of being and its division into regions, and therefore is in need of both regional 
",division regions therefore need regional
152,"ontologies as well as a critique of the understanding of bcing which it takes up 
",ontologies well critique understanding bcing takes
153,"as unquestionable, have been well pointed out by Husseri and Heidegger -
",unquestionable well pointed husseri heidegger
154,"and in the essays by Fink and Landgrebc in the present volume. But in his 
",essays fink landgrebc present volume
155,"emphasis on operative concepts, Fink is drawing attention to the necessity of a 
",emphasis operative concepts fink drawing attention necessity
156,"similar naivety even at the level of philosophical discourse. What then is the 
",similar naivety even level philosophical discourse
157,"difference between this philosophical naivety and that naivety of the positive 
",difference philosophical naivety naivety positive
158,"sciences? Can we say, in reply, that the thinking in the positive sciences, in fact 
",sciences say reply thinking positive sciences fact
159,"the very concept of ""positive science"" is constituted by that naivety, whereas 
",concept positive science constituted naivety whereas
160,"philosophical thinking while not constituted by the naivety of unreflectively 
",philosophical thinking constituted naivety unreflectively
161,"using operative concepts, generates such concepts as it proceeds on its work? 
",using operative concepts generates concepts proceeds work
162,"In that case, the naivety of philosophical thinking, insofar as it necessarily 
",case naivety philosophical thinking insofar necessarily
163,"casts shadows, to use Fink's language, is radically different from the naivety 
",casts shadows use finks language radically different naivety
164,"of the positive sciences. They are, as naiveties, different. 
",positive sciences naiveties different
165,"If, then, Fink's operative concepts are not to be understood as unproven 
",finks operative concepts understood unproven
166,"assumptions or naive presuppositions, what are they? It is common in our 
",assumptions naive presuppositions common
167,"times to speak of conceptual frameworks which underlie thinking. There is a 
",times speak conceptual frameworks underlie thinking
168,"definitive sense of this locution in the context of the positive sciences, 
",definitive sense locution context positive sciences
169,"especially of the social sciences. As applied to philosophical thinking, the talk 
",especially social sciences applied philosophical thinking talk
170,"of conceptual frameworks is less definitive but nevertheless has some 
",conceptual frameworks less definitive nevertheless
171,"assignable sense and validity. One speaks of the physicalistic framework of 
",assignable sense validity one speaks physicalistic framework
172,"much of contemporary analytic philosophy, or of the mentalistic framework 
",much contemporary analytic philosophy mentalistic framework
173,"of intentionalistic philosophies: these refer to ultimate presuppositions, 
",intentionalistic philosophies refer ultimate presuppositions
174,"theoretical commitments, perhaps valuational appraisals, which are not any 
",theoretical commitments perhaps valuational appraisals
175,"further justifiable within the systems concerned. It seems to me that Fink is 
",justifiable within systems concerned seems fink
176,"not speaking of conceptual frameworks in this sense. 
",speaking conceptual frameworks sense
177,"As we try to determine positively what Fink means by operative concepts, 
",try determine positively fink means operative concepts
178,"he appears to have in mind several different, even if related, things: first, therc 
",appears mind several different even related things first therc
179,"is the Heideggerian Ungedachte, not thought within the system but making 
",heideggerian ungedachte thought within system making
180,"possible what is thought precisely as it is thought: the horizon of sense within 
",possible thought precisely thought horizon sense within
181,"which the problems and the themes first become posited for a systcm: thc 
",problems themes first become posited systcm thc
182,"mode of access which a philosophical thinking uses to deal with its theme. by 
",mode access philosophical thinking uses deal theme
183,"which is meant: not so much the method which may have been explicitly 
",meant much method may explicitly
184,"thematised if the thinking is critical, but what makes such method first 
",thematised thinking critical makes method first
185,"possible in relation to the given theme: and fundamental concepts which are 
",possible relation given theme fundamental concepts
186,"necessary correlates of concepts which have been thematised. An example of 
",necessary correlates concepts thematised example
187,"the first, of course, is the concept of Being as enduring presence, and so a 
",first course concept enduring presence
188,"certain relation between Being and time with regard to the dominant strand of 
",certain relation time regard dominant strand
189,"western metaphysics; an example of the second is the understanding of Being 
",western metaphysics example second understanding
190,"as object, within which the Kantian problematic first becomes possible: of the 
",object within kantian problematic first becomes possible
191,"third, the mode of reflection Kant employs in the critiques and the mode of 
",third mode reflection kant employs critiques mode
192,"knowledge which the critical philosophy itself gives, which, according to a 
",knowledge critical philosophy gives according
193,"standard Hegelian critique of Kant, was never and cannot, in principle, be 
",standard hegelian critique kant never cannot principle
194,"thematised within the self-prescribed limits of Kantian epistemology: and, 
",thematised within selfprescribed limits kantian epistemology
195,"finally, of the fourth, such conceptual phenomena as the necessary 
",finally fourth conceptual phenomena necessary
196,"correlation between ""rest"" and ""movement,"" ""one"" and ""being,"" ""identity"" 
",correlation rest movement one identity
197,"and ""difference"" in Platonic dialectics. 
",difference platonic dialectics
198,"It does seem as though the fact that every philosophical system generates its 
",seem though fact every philosophical system generates
199,"own operative concepts must be closely connected with the finiteness and 
",operative concepts must closely connected finiteness
200,"situatedness of the philosopher, with his lack of omniscience, with the 
",situatedness philosopher lack omniscience
201,"perspectival and temporal character of all thinking. But even here we should 
",perspectival temporal character thinking even
202,"be aware of misunderstanding Fink's decisive concept. Perception is 
",aware misunderstanding finks decisive concept perception
203,"perspectival, both the percipient and the scientist are as much finite and 
",perspectival percipient scientist much finite
204,"situated as the reflecting philosopher, their thinking as much temporal, and 
",situated reflecting philosopher thinking much temporal
205,"they all as little omniscient. True, there always shall remain open and unsolved 
",little omniscient true always shall remain open unsolved
206,"problems for every system; it may even be true that every philosophical 
",problems every system may even true every philosophical
207,"thinking encounters, at some point, unsolvable problems (which Nicolai 
",thinking encounters point unsolvable problems nicolai
208,"Hartmann called ""the metaphysical""). But not all these are ""operative"" in 
",hartmann called metaphysical operative
209,"Fink's sense, although some of Fink's formulations may appear not to want to 
",finks sense although finks formulations may appear want
210,"distinguish between them. Only those unsolved problems and dark regions 
",distinguish unsolved problems dark regions
211,"deserve to be called ""operative"" which are generated or subtended by the 
",deserve called operative generated subtended
212,"movement of one's thought and the course of its thematisation. Thus, it seems 
",movement ones thought course thematisation thus seems
213,"as though Kant, in his First Critique, while thematising the question of the 
",though kant first critique thematising question
214,"possibility of pure mathematics and mathematical physics, operated with a 
",possibility pure mathematics mathematical physics operated
215,"mode of reflective knowledge of the structure of human subjectivity which he 
",mode reflective knowledge structure human subjectivity
216,"could not then, in that very discourse, make his theme. But the case is very 
",could discourse make theme case
217,"different when, in the Parmenides, Plato shows how the thought of being leads 
",different parmenides plato shows thought leads
218,"to that of unity, and vice versa: where one is dealing not with the tension 
",unity vice versa one dealing tension
219,"between thematic and operative concepts, but with the reciprocal implication 
",thematic operative concepts reciprocal implication
220,"of two concepts, one of which is explicitly but the other implicitly thematised 
",two concepts one explicitly implicitly thematised
221,"Fink's account also suggests, applied to Husserl's phenomenology, as 
",finks account also suggests applied husserls phenomenology
222,"though the world and individual worldly objects constitute the universal and 
",though world individual worldly objects constitute universal
223,"specific themes of natural attitude (he also calls the natural attitude ""the basic 
",specific themes natural attitude also calls natural attitude basic
224,"thematic attitude of humanity"") while the attempt, through the epoche, to 
",thematic attitude humanity attempt epoche
225,"thematise this fact of the natural thematic attitude, lays bare the operative 
",thematise fact natural thematic attitude lays bare operative
226,"presuppositions of that attitude: for example, the acts of subjective 
",presuppositions attitude example acts subjective
227,"experiencing through which a natural object comes to self-given ness. We do 
",experiencing natural object comes selfgiven ness
228,"not want to raise the question of whether the world is the universal theme of 
",want raise question whether world universal theme
229,"natural attitude; but since our present effort is to precisely understand the 
",natural attitude since present effort precisely understand
230,"distinction Fink has in mind, I would simply want to note the following: what 
",distinction fink mind would simply want note following
231,"are operative in the thematisation of the wordly objects in the natural attitude 
",operative thematisation wordly objects natural attitude
232,"are the SUbjective experiencings themselves, but we do not thereby get 
",subjective experiencings thereby get
233,"operative concepts but, rather, operative phenomena. The subjective 
",operative concepts rather operative phenomena subjective
234,"experiencings are not conceptual media through which the thematised objects 
",experiencings conceptual media thematised objects
235,"become objects for us, but they nevertheless are operative in the process of 
",become objects us nevertheless operative process
236,"those objects' coming to appear for us. Shall we then distinguish between 
",objects coming appear us shall distinguish
237,"operative concepts and operative phenomena? Furthermore. these subjective 
",operative concepts operative phenomena furthermore subjective
238,"experiencings are operative already in the thematisation that takes place 
",experiencings operative already thematisation takes place
239,"within the natural attitude. When this thematisation itself is thematised. 
",within natural attitude thematisation thematised
240,"through the epoche, by phenomenology, what new operative concepts and 
",epoche phenomenology new operative concepts
241,"phenomena are thereby ""generated""? Fink sees this problem and tells us that 
",phenomena thereby generated fink sees problem tells us
242,"what were originally operative experiencings are transformed into operative 
",originally operative experiencings transformed operative
243,"concepts. But then we are faced with a curious situation. namely. that by the 
",concepts faced curious situation namely
244,"very same process as reflection brings the operative experiencings ""out of the 
",process reflection brings operative experiencings
245,"shadow,"" it also forms the operative concepts which are but conceptual 
",shadow also forms operative concepts conceptual
246,"expressions of them. 
",expressions
247,"I think the problem we are encountering concerns to what extent, if at all. a 
",think problem encountering concerns extent
248,"philosophy can lay bare its own operative concepts. Husserl's philosophy. 
",philosophy lay bare operative concepts husserls philosophy
249,"according to Fink, does attempt to do this to a considerable extent. There is no 
",according fink attempt considerable extent
250,"doubt that H usserl does thematise, and reflect at great length on. the concepts 
",doubt h usserl thematise reflect great length concepts
251,"of phenomenon, constitution, reduction and transcendental SUbjectivity. 
",phenomenon constitution reduction transcendental subjectivity
252,"What Fink insists is that they have not been, and cannot in principle be, fully 
",fink insists cannot principle fully
253,"clarified within Husserl's philosophy, for no philosophy can be in complete 
",clarified within husserls philosophy philosophy complete
254,"possession of all its concepts. But, again, we need to ask: is not that true even 
",possession concepts need ask true even
255,"of the thematised concepts themselves? Furthermore, what other operative 
",thematised concepts furthermore operative
256,"concepts are ""subtended"" as phenomenology seeks to reflect, e.g., on the 
",concepts subtended phenomenology seeks reflect eg
257,"concept of constitution, itself an operative concept? These question are raised 
",concept constitution operative concept question raised
258,"only to show that Fink's distinction is so decisive that we need to give much 
",show finks distinction decisive need give much
259,"more thought to it than has been done since Fink published his essay. Perhaps 
",thought done since fink published essay perhaps
260,"in the long run, the distinction will give way, but as a preliminary and heuristic 
",long run distinction give way preliminary heuristic
261,"distinction its value cannot be exceeded by any other in the literature on 
",distinction value cannot exceeded literature
262,"hermeneutics. 
",hermeneutics
263,"A mode of philosophising which is content with its naivety, in fact 
",mode philosophising content naivety fact
264,"reconciled to it, may be undisturbed by such considerations and proceed to 
",reconciled may undisturbed considerations proceed
265,"assimilate its naivety to that of the positive sciences. But critical and radical 
",assimilate naivety positive sciences critical radical
266,"philosophising such as phenomenology cannot but attempt to understand, 
",philosophising phenomenology cannot attempt understand
267,"appropriate and overcome all its naivety. As Fink notes, Hegelian 
",appropriate overcome naivety fink notes hegelian
268,"""speculative proposition,"" Heidegger's ""hermeneutic circle"" and Husserl's 
",speculative proposition heideggers hermeneutic circle husserls
269,"""phenomenological reduction"" are attempts to deal with the tension between 
",phenomenological reduction attempts deal tension
270,"thematic and operative concepts. 
",thematic operative concepts
271,"III 
",iii
272,"Can we still regard phenomenology, considered as a radical, critical 
",still regard phenomenology considered radical critical
273,"philosophy, as a descriptive science? Fink, Landgrebe and Funke all agree 
",philosophy descriptive science fink landgrebe funke agree
274,"that phenomenology as transcendental philosophy cannot be merely 
",phenomenology transcendental philosophy cannot merely
275,"descriptive. For Fink, eidetic description is pre-philosophical. The so-called 
",descriptive fink eidetic description prephilosophical socalled
276,"eidetic ontologies are only misleadingly called ontologies: they are closer to 
",eidetic ontologies misleadingly called ontologies closer
277,"the positive sciences. To consider intentionalities as data is, according to Fink, 
",positive sciences consider intentionalities data according fink
278,"to be guilty of a ""sensationalism of intentionality."" Phenomenology has to 
",guilty sensationalism intentionality phenomenology
279,"proceed, not by noetic reflection on acts, but by noematic reflection on 
",proceed noetic reflection acts noematic reflection
280,"constituted senses; its goal is to uncover the operative intentionality as the 
",constituted senses goal uncover operative intentionality
281,"constituting ground. But in this task, the very sense of ""description ""undergoes 
",constituting ground task sense description undergoes
282,"transformation inasmuch as here description cannot be understood as faithful 
",transformation inasmuch description cannot understood faithful
283,"depiction of what is given as being present. Operative intentionality. the sense-
",depiction given present operative intentionality sense
284,"forming life, cannot be made an object for investigation in the same sense as 
",forming life cannot made object investigation sense
285,"mundane facts, essences and constituted meanings are. I n effect, the idea of a 
",mundane facts essences constituted meanings n effect idea
286,"descriptive phenomenology. as usually understood, has to be overcome as we 
",descriptive phenomenology usually understood overcome
287,"overcome an untenable idea of a merely positing, objectivating consciousness, 
",overcome untenable idea merely positing objectivating consciousness
288,"the idea of the merely given datum, and the idea of a thematising reflection. 
",idea merely given datum idea thematising reflection
289,"The being of operative intentionality is not the being of an object. 
",operative intentionality object
290,"Funke, whose understanding of Husserlian phenomenology otherwise 
",funke whose understanding husserlian phenomenology otherwise
291,"radically differs from Fink's. would agree with the last statement but denies 
",radically differs finks would agree last statement denies
292,"that we can at all speak of the heing of the constituting subjectivity. If the 
",speak heing constituting subjectivity
293,"transcendental subjectivity is a functioning subjectivity, then of it we cannot 
",transcendental subjectivity functioning subjectivity cannot
294,"say, it is. 2 And transcendental phenomenology, as transcendental thinking, is 
",say transcendental phenomenology transcendental thinking
295,"not a science of what is immediately accessible; as critical, it is not and cannot 
",science immediately accessible critical cannot
296,"be descriptive. 3 For Funke, facticity is the field of metaphysics, not of critical, 
",descriptive funke facticity field metaphysics critical
297,"transcendental thinking.4 True philosophy cannot remain satisfied with 
",transcendental thinking true philosophy cannot remain satisfied
298,"merely describing the appearances as they have become evident. As science, 
",merely describing appearances become evident science
299,"philosophy has to look for the validation of such self-evidences by showing 
",philosophy look validation selfevidences showing
300,"why, on a definite level of consciousness, something must appear to be 
",definite level consciousness something must appear
301,"evident. It then becomes investigation into the universal correlation between 
",evident becomes investigation universal correlation
302,"consciousness and being. Description provides the starting point for such 
",consciousness description provides starting point
303,"enquiry. Only an uncritical philosophy can be pure positivism. 
",enquiry uncritical philosophy pure positivism
304,"In his essay on regions of being and regional ontologies in Husserl's 
",essay regions regional ontologies husserls
305,"phenomenology, included in this volume, Landgrebe takes up the decisive 
",phenomenology included volume landgrebe takes decisive
306,"question about the place of eidetic ontologies in a truly transcendental 
",question place eidetic ontologies truly transcendental
307,"philosophy. The regional ontologies. no doubt, provide foundations for the 
",philosophy regional ontologies doubt provide foundations
308,"empirical sciences inasmuch as they determine what must belong to an object 
",empirical sciences inasmuch determine must belong object
309,"necessarily in order for it to become object of a given science. But at the same 
",necessarily order become object given science
310,"time the distinctions of regions of being reflect the prejudices and perspectives 
",time distinctions regions reflect prejudices perspectives
311,"according to which things appear to us today so obviously. The distinctions of 
",according things appear us today obviously distinctions
312,"regions, then, provide us with the guiding principles 
",regions provide us guiding principles
313,"(Lei~laden) for 
",leiladen
314,"phenomenology to ask, ""How can things become objects of consciousness in 
",phenomenology ask things become objects consciousness
315,"such a way that such demarcations of regions are at all possible?"" Thus far 
",way demarcations regions possible thus far
316,"Funke and Landgrebe would agree. But beyond this, there are vast differences 
",funke landgrebe would agree beyond vast differences
317,"between their understandings of phenomenology. For the present, we may 
",understandings phenomenology present may
318,"note the decisive role which Landgrebe - exactly in opposition to Funke's 
",note decisive role landgrebe exactly opposition funkes
319,"thesis- assigns to the concept of facticillY in H usserlian thinking. If, according 
",thesis assigns concept facticilly h usserlian thinking according
320,"to Funke, critical philosophy is concerned with validation and not with 
",funke critical philosophy concerned validation
321,"facticity, Landgrebe, in an essay dating from 1939,5 insisted that the facticity 
",facticity landgrebe essay dating insisted facticity
322,"of Dasein as conceived by Heidegger should not be confused with the fact of 
",dasein conceived heidegger confused fact
